#{"t_start": 1779336027.0662909, "env_id": "None"}
r,l,t
829.454293,38,883.118003
800.697634,54,884.516909
805.991378,62,885.607183
815.711836,31,886.337632
473.59568,40,887.21606
825.952006,35,888.016404
808.51283,44,888.480393
821.19232,32,889.219358
790.76496,38,890.067812
783.17657,41,890.93714
823.242091,35,891.739147
822.207164,37,892.555328
206.666944,70,894.152704
828.153716,35,895.00504
828.177197,29,895.315738
838.016274,43,896.218171
826.448382,33,896.956953
834.878715,33,897.726737
799.421356,41,898.566078
805.067247,44,899.858078
820.954393,33,900.587154
823.478372,31,901.326452
817.705294,34,902.075978
840.919618,31,902.42651
814.450505,45,903.335873
784.088166,62,904.855998
822.320207,36,905.655058
791.624332,40,906.501256
835.833399,29,907.215591
777.853604,39,908.043687
796.142668,37,908.826012
814.849842,41,909.70604
801.334556,39,910.566644
793.749836,34,913.223076
827.593435,33,913.990303
805.933927,32,914.743166
767.818693,34,915.549002
740.242009,42,916.416422
823.131295,41,917.285096
807.83359,36,918.10691
423.559169,49,919.44408
819.55797,42,920.304636
741.382701,38,921.144913
822.862706,40,922.016127
818.41666,47,922.935195
802.075654,44,923.824166
832.366043,33,924.594951
822.259997,28,925.29767
824.565299,28,925.614487
535.137224,37,926.84662
831.760475,31,927.615132
783.045337,40,928.434474
818.480333,34,929.224945
843.399871,40,929.674517
827.876455,48,930.631193
813.414526,42,931.935038
795.776545,51,932.554779
822.070692,37,933.785132
824.203962,31,934.123806
836.640331,38,934.965739
832.057296,32,935.716952
840.409573,27,937.122503
840.409573,27,937.744055
660.764767,58,939.225713
840.85479,29,939.94444
823.801285,35,940.757226
823.936892,32,941.544172
833.66668,30,942.306036
826.373161,30,943.038245
824.675176,39,943.866206
802.124413,40,944.735743
817.777659,42,945.598396
827.419617,36,946.404438
805.029574,33,947.188992
821.723931,34,947.975929
830.316173,34,948.765008
496.971432,36,949.574233
799.11939,42,950.45562
829.468015,33,951.23353
801.595688,38,952.505598
825.775587,37,953.325478
831.06908,30,954.064812
818.758461,32,954.845076
802.746143,36,955.677598
816.712547,33,956.036643
826.466775,36,956.84379
824.014179,32,957.605452
825.002372,34,958.384706
827.72826,32,959.154138
827.165772,30,959.892933
790.332533,30,962.443447
806.538222,46,963.357221
821.367825,31,963.69357
807.24894,35,964.473417
818.269802,41,965.317171
830.092285,32,966.084235
792.71267,34,966.886357
825.169481,32,967.644463
811.825228,32,967.995608
791.596395,40,968.839552
825.547886,35,969.636506
814.343038,44,970.517369
825.625854,32,970.873796
809.114831,35,971.695276
813.081901,34,972.475967
557.912094,33,973.24919
788.400557,36,974.035196
823.524919,40,974.894946
470.928485,51,975.844612
825.027024,39,977.064046
825.300285,38,977.904241
529.270042,31,978.673639
763.697504,47,979.605334
389.885347,45,980.514542
825.924593,33,981.282562
516.18035803.236351,64,982796.016657,60,983.564488
816.068679,35,984.357657
831.765792,46,985.276211
813.569178,30,986.014576
826.851635,30,986.74486
828.652656,33,987.508151
778.357598,99,989.417304
786.188016,41,990.302647
817.968764,53,991.268804
833.329313,34,992.027119
830.66139,29,992.731594
826.397841,37,994.264118
826.925706,50,995.648094
825.414653,31,996.425398
685.270065,61,997.49395
820.123749,33,998.268084
828.305265,32,999.075336
814.001909,44,1000.034577
818.086576,41,1000.904954
817.642045,36,1001.294503
822.735499,42,1002.602457
807.810977,32,1003.413659
808.574581,34,1004.17351
825.077338,37,1004.706048
829.553306,42,1005.585718
829.881246,37,1006.457802
